epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.9404,1.97084,5.15388,1.44509,0,0,0,0,0.7756,inf,1.06471,2.331e-05,2.331e-05,2.331e-05
2,5.08807,1.32532,5.06032,1.22081,0,0,0,0,0.59636,inf,0.92926,4.8961e-05,4.8961e-05,4.8961e-05
3,7.08207,0.95757,5.03183,1.05111,0,0,0,0,0.67564,inf,0.89957,7.3557e-05,7.3557e-05,7.3557e-05
4,9.23706,0.78557,4.93061,0.97848,0,0,0,0,0.53318,inf,0.85105,9.70981e-05,9.70981e-05,9.70981e-05
5,11.2071,0.7002,4.77312,0.92487,0,0,0,0,0.47908,inf,0.84066,0.000119584,0.000119584,0.000119584
6,13.1701,0.69691,4.67722,0.90496,0.00385,0.00049,0.00197,0.00158,0.43066,inf,0.82563,0.000141016,0.000141016,0.000141016
7,15.1226,0.61261,4.52223,0.88288,0.01947,0.03798,0.01245,0.00911,0.38797,inf,0.82079,0.000161392,0.000161392,0.000161392
8,17.1286,0.60708,4.4207,0.85958,0.04513,0.12428,0.02889,0.02499,0.39266,inf,0.8107,0.000180713,0.000180713,0.000180713
9,19.0886,0.5921,4.37339,0.85455,0.02244,0.12698,0.01814,0.01516,0.39949,inf,0.80818,0.000198979,0.000198979,0.000198979
10,21.4616,0.65518,4.35194,0.86274,0.02021,0.13334,0.01688,0.01488,0.35321,inf,0.8017,0.000216191,0.000216191,0.000216191
11,23.5018,0.61189,4.24734,0.85328,0.02401,0.13938,0.01862,0.01625,0.35131,inf,0.80778,0.000232347,0.000232347,0.000232347
12,25.5018,0.62108,4.17266,0.84669,0.02517,0.14766,0.02027,0.01758,0.42641,3.874,0.8087,0.000247449,0.000247449,0.000247449
13,27.4828,0.642,4.08129,0.87091,0.02716,0.15186,0.0224,0.01982,0.42935,3.79648,0.8095,0.000253879,0.000253879,0.000253879
14,29.4998,0.55773,3.99827,0.85069,0.02538,0.14936,0.02271,0.02102,0.31924,3.74889,0.81071,0.000247286,0.000247286,0.000247286
15,31.4928,0.55451,3.93011,0.83684,0.07675,0.16336,0.052,0.0501,0.29585,3.68233,0.80912,0.000240692,0.000240692,0.000240692
16,33.5218,0.55721,3.9212,0.84031,0.08058,0.18974,0.06241,0.06011,0.33073,3.65339,0.80572,0.000234099,0.000234099,0.000234099
17,35.4728,0.4964,3.84193,0.83723,0.07014,0.20685,0.07037,0.06742,0.33948,3.65776,0.80598,0.000227506,0.000227506,0.000227506
18,37.5158,0.53498,3.81293,0.83848,0.06628,0.22139,0.07906,0.07685,0.31147,3.61654,0.80651,0.000220912,0.000220912,0.000220912
19,39.4982,0.48774,3.74563,0.8299,0.06549,0.24096,0.08703,0.08425,0.31072,3.57154,0.80524,0.000214319,0.000214319,0.000214319
20,41.5212,0.52254,3.75708,0.83304,0.07768,0.26768,0.09987,0.09689,0.2813,3.5026,0.7963,0.000207725,0.000207725,0.000207725
21,43.8072,0.52904,3.61936,0.84001,0.07256,0.27986,0.10942,0.10357,0.30658,3.45393,0.79722,0.000201132,0.000201132,0.000201132
22,45.8637,0.51872,3.6006,0.83805,0.07888,0.29795,0.12191,0.11689,0.30882,3.37845,0.7971,0.000194539,0.000194539,0.000194539
23,47.8767,0.50514,3.49317,0.8305,0.08882,0.31428,0.13443,0.12829,0.30596,3.30161,0.79458,0.000187945,0.000187945,0.000187945
24,49.8913,0.50006,3.48063,0.83644,0.12248,0.3363,0.16353,0.15927,0.25496,3.23583,0.79748,0.000181352,0.000181352,0.000181352
25,51.9087,0.56097,3.47066,0.83545,0.15617,0.37192,0.19283,0.18706,0.24008,3.21311,0.79469,0.000174758,0.000174758,0.000174758
26,54.1947,0.58246,3.29452,0.83917,0.1302,0.40274,0.18836,0.1811,0.27527,3.18477,0.79588,0.000168165,0.000168165,0.000168165
27,56.2258,0.49465,3.29673,0.83582,0.15511,0.43906,0.20951,0.20024,0.29526,3.11045,0.79712,0.000161572,0.000161572,0.000161572
28,58.5328,0.47957,3.20468,0.82957,0.16281,0.486,0.22488,0.21812,0.23801,3.02153,0.79613,0.000154978,0.000154978,0.000154978
29,60.5684,0.53252,3.1272,0.83697,0.17507,0.51838,0.24431,0.23574,0.2313,2.92417,0.79577,0.000148385,0.000148385,0.000148385
30,62.6584,0.57291,3.23752,0.83546,0.1849,0.54879,0.26547,0.26043,0.22921,2.83854,0.79239,0.000141791,0.000141791,0.000141791
31,64.7714,0.4866,3.03169,0.82445,0.19208,0.57682,0.29165,0.28322,0.26702,2.76779,0.79375,0.000135198,0.000135198,0.000135198
32,66.8004,0.51173,3.08357,0.82793,0.20745,0.59182,0.30745,0.30221,0.25265,2.71703,0.79076,0.000128605,0.000128605,0.000128605
33,68.8164,0.50604,2.88323,0.82743,0.20796,0.60718,0.32615,0.32105,0.2311,2.61308,0.78882,0.000122011,0.000122011,0.000122011
34,70.8611,0.48143,2.83702,0.82538,0.24416,0.52265,0.34416,0.33668,0.25438,2.50939,0.79017,0.000115418,0.000115418,0.000115418
35,72.8064,0.48384,2.78881,0.82773,0.25011,0.5517,0.36409,0.35583,0.27054,2.43673,0.79142,0.000108824,0.000108824,0.000108824
36,74.7778,0.51881,2.679,0.82955,0.29331,0.60374,0.38049,0.37629,0.24204,2.34729,0.79106,0.000102231,0.000102231,0.000102231
37,76.8233,0.51527,2.79758,0.82116,0.32268,0.58121,0.39855,0.39473,0.20981,2.28335,0.79069,9.56376e-05,9.56376e-05,9.56376e-05
38,78.803,0.53716,2.53168,0.83198,0.33111,0.62676,0.4198,0.41096,0.2368,2.21874,0.79121,8.90442e-05,8.90442e-05,8.90442e-05
39,80.7832,0.48826,2.63766,0.82812,0.34279,0.63016,0.44074,0.43044,0.25559,2.17118,0.79159,8.24508e-05,8.24508e-05,8.24508e-05
40,82.8142,0.49395,2.62588,0.82838,0.34638,0.6104,0.46143,0.45375,0.25469,2.1276,0.7908,7.58574e-05,7.58574e-05,7.58574e-05
41,97.867,0.45459,2.20771,0.80947,0.36554,0.59278,0.47414,0.47035,0.23251,2.0226,0.78951,6.9264e-05,6.9264e-05,6.9264e-05
42,99.457,0.44941,2.16371,0.81549,0.34815,0.61041,0.48168,0.47747,0.22066,1.95148,0.79063,6.26706e-05,6.26706e-05,6.26706e-05
43,101.054,0.49475,2.22652,0.82059,0.35008,0.63769,0.48945,0.48463,0.22792,1.90364,0.79196,5.60772e-05,5.60772e-05,5.60772e-05
